gene	phase1_beta	Phase1_FDR	Phase1_tier	CORE100	CORE250	CORE500	external_beta	external_direction_match	donor_4of4	donor_3of4	gene_activity_beta	gene_activity_match	LODO_stable	literature_positive_control
TFPI2	-6.30371596808339	5.23525382560758e-09	TIER_1_ROBUST_REGIONAL	True	True	True	-3.0041507862852277	True	True	True	-1.5022573157283825	1.0	True	NONE
LINC01880	-5.41917993530364	0.0004364243805813	TIER_1_ROBUST_REGIONAL	True	True	True	-1.310714153931531	True	False	True	NA	NA	True	NONE
EGF	-5.17619382602827	1.18853577430937e-10	TIER_1_ROBUST_REGIONAL	True	True	True	-1.4869790281201278	True	False	True	-0.2317563167778402	1.0	True	NONE
PAX6	-5.13058840776406	6.14786215411027e-08	TIER_1_ROBUST_REGIONAL	True	True	True	-0.6939529532447379	True	False	True	-1.0214014045521516	1.0	True	NONE
CA10	-4.83089529580327	0.0007111159253533	TIER_1_ROBUST_REGIONAL	True	True	True	-0.1368675313278294	True	False	True	NA	NA	False	NONE
TMEM51	-4.67357269835933	2.9020645081653604e-15	TIER_1_ROBUST_REGIONAL	True	True	True	-2.271098574111006	True	True	True	-1.6265322442225212	1.0	True	NONE
WFDC1	4.57584221093252	2.02520365867421e-10	TIER_1_ROBUST_REGIONAL	True	True	True	2.272807457852196	True	True	True	1.2634231862540042	1.0	True	MACULA
KIT	-4.56455917750435	3.07712289377881e-07	TIER_1_ROBUST_REGIONAL	True	True	True	-1.8611226192239436	True	True	True	-1.6491987762551104	1.0	True	NONE
SV2B	-4.48357934775069	2.37452491178563e-08	TIER_1_ROBUST_REGIONAL	True	True	True	-0.5837895034782115	True	False	True	-0.6208478728522648	1.0	False	NONE
ALDH1A3	-4.39814112861246	8.11250021246276e-10	TIER_1_ROBUST_REGIONAL	True	True	True	-2.7265303315510514	True	True	True	-1.3956965166704296	1.0	True	ATAC_ASSOCIATED
RPL3L	-4.17685807016219	4.40655079775433e-08	TIER_1_ROBUST_REGIONAL	True	True	True	-1.158733241640414	True	False	True	-0.2073713426383803	1.0	True	NONE
SLC25A48	4.11232129396669	4.29302090479117e-13	TIER_1_ROBUST_REGIONAL	True	True	True	0.9573748332835016	True	False	True	0.413711552336047	1.0	True	NONE
CRISPLD1	-3.9325199241441	9.28881904139852e-07	TIER_1_ROBUST_REGIONAL	True	True	True	-1.0140963263509823	True	True	True	-1.3584576053207753	1.0	True	NONE
L3MBTL4	-3.6290616327352	2.16330274898952e-09	TIER_1_ROBUST_REGIONAL	True	True	True	-2.01363598964494	True	True	True	-0.5847677567753957	1.0	True	NONE
CXCL14	3.61711073907539	6.9376082707267e-07	TIER_1_ROBUST_REGIONAL	True	True	True	2.5695709268929487	True	False	True	1.4549473982766414	1.0	True	NONE
OSBPL6	3.60242950142674	1.40343703246676e-10	TIER_1_ROBUST_REGIONAL	True	True	True	2.130024046812138	True	True	True	0.5518106102840501	1.0	True	NONE
ELN	-3.60189799308565	5.834673000619e-10	TIER_1_ROBUST_REGIONAL	True	True	True	-2.631700528564267	True	True	True	-0.6392927102245014	1.0	True	PERIPHERY
PDE10A	3.56471091411966	1.69047459692659e-16	TIER_1_ROBUST_REGIONAL	True	True	True	2.4541559970105955	True	False	True	NA	NA	True	NONE
GRID2	3.55503700587982	8.78831290155806e-11	TIER_1_ROBUST_REGIONAL	True	True	True	1.6985408501282644	True	False	True	NA	NA	True	NONE
BACE2	-3.5427159722342	0.000146836232586	TIER_1_ROBUST_REGIONAL	True	True	True	-0.1798236649172778	True	False	True	-0.3824318937178612	1.0	False	NONE
LINC02223	-3.40435360840301	0.0030662936763571	TIER_1_ROBUST_REGIONAL	True	True	True	-1.1822303450336644	True	False	True	NA	NA	True	NONE
STK26	-3.39481252420293	1.7613434982787e-07	TIER_1_ROBUST_REGIONAL	True	True	True	-0.3700889823631952	True	False	True	-1.2360651947562196	1.0	False	NONE
COL9A2	-3.37512825857555	1.18853577430937e-10	TIER_1_ROBUST_REGIONAL	True	True	True	-0.2877620760499551	True	False	True	-1.0340261805879256	1.0	False	NONE
CHD5	-3.33247335717419	1.02973259314792e-05	TIER_1_ROBUST_REGIONAL	True	True	True	-2.0647961697300667	True	True	True	-0.5306572024619962	1.0	True	NONE
SCG5	-3.32219298507121	1.27796522023809e-12	TIER_1_ROBUST_REGIONAL	True	True	True	-2.758576286718592	True	True	True	-0.3191773749155895	1.0	True	NONE
C1orf87	-3.27032383937918	1.20424621314611e-06	TIER_1_ROBUST_REGIONAL	True	True	True	-2.8438475418428784	True	True	True	-0.0680540602856978	1.0	True	NONE
ZNF804A	-3.22768596180819	0.0057306828325226	TIER_1_ROBUST_REGIONAL	True	True	True	-0.5236161939583633	True	False	True	-0.589429748465903	1.0	False	NONE
GAP43	-3.21943304837017	0.0013922480456602	TIER_1_ROBUST_REGIONAL	True	True	True	-2.202177573374894	True	True	True	-0.4010643436380225	1.0	True	NONE
DCN	-3.15060164309961	6.78697161954144e-06	TIER_1_ROBUST_REGIONAL	True	True	True	-0.690115962161379	True	False	True	-0.3900250142419637	1.0	True	NONE
CUX2	3.14012913197397	1.77953349914464e-09	TIER_1_ROBUST_REGIONAL	True	True	True	1.6581097411759045	True	True	True	0.2894385428940265	1.0	True	NONE
ATP6V1C2	-3.12079054152971	0.0045011592554662	TIER_1_ROBUST_REGIONAL	True	True	True	-1.0146080111471742	True	False	True	0.0147189797974743	0.0	True	NONE
CNKSR2	-3.05967531923159	1.3923024645995902e-09	TIER_1_ROBUST_REGIONAL	True	True	True	-0.2186587171412065	True	False	True	-0.3524710646633398	1.0	True	NONE
S100B	-3.03131127744019	3.43900858130774e-07	TIER_1_ROBUST_REGIONAL	True	True	True	-0.2694962105025242	True	False	True	-0.9225881728661344	1.0	True	NONE
C1orf21	-3.02454288592723	4.88418955926876e-10	TIER_1_ROBUST_REGIONAL	True	True	True	-1.5454819042709482	True	True	True	-0.4677446149347579	1.0	True	NONE
PNPLA5	-3.00714154499185	4.07532529891078e-06	TIER_1_ROBUST_REGIONAL	True	True	True	-1.7166658131193602	True	False	True	-0.2034094610199266	1.0	True	NONE
INSYN2B	-2.93432065422181	2.39215493863206e-08	TIER_1_ROBUST_REGIONAL	True	True	True	-3.0625071266131725	True	True	True	NA	NA	True	NONE
LINC00891	-2.89768490940538	1.19416347039484e-06	TIER_1_ROBUST_REGIONAL	True	True	True	-0.8292142992924755	True	False	True	NA	NA	True	NONE
LMX1A	2.894366656651	6.07102414807108e-07	TIER_1_ROBUST_REGIONAL	True	True	True	1.4086068794492677	True	False	True	0.1777946746211649	1.0	True	NONE
PLCXD3	-2.88040456698973	1.43161548762538e-05	TIER_1_ROBUST_REGIONAL	True	True	True	-2.627164174558744	True	True	True	-0.6755470664973902	1.0	True	NONE
AJAP1	-2.86182927001624	0.0004142867261196	TIER_1_ROBUST_REGIONAL	True	True	True	-0.0644908770290831	True	False	True	-0.0323319901999581	1.0	False	NONE
KCNJ5	-2.86059743116814	0.0015459480863674	TIER_1_ROBUST_REGIONAL	True	True	True	-1.4374541511115018	True	True	True	-0.8327061723995017	1.0	True	NONE
NT5DC3	-2.83917794325285	2.35031851255405e-14	TIER_1_ROBUST_REGIONAL	True	True	True	-2.251632274741583	True	True	True	-0.7485371462615491	1.0	True	NONE
FGF1	2.82702766295783	8.1036409035808e-07	TIER_1_ROBUST_REGIONAL	True	True	True	1.7047130222336244	True	True	True	0.4521239472293343	1.0	True	NONE
PTPRN2	2.8165318831272	2.4783276006618396e-11	TIER_1_ROBUST_REGIONAL	True	True	True	0.2692125757916346	True	False	True	NA	NA	False	NONE
SRCIN1	-2.7530817901398	3.63524138792126e-07	TIER_1_ROBUST_REGIONAL	True	True	True	-1.188542543509954	True	False	True	-0.2392201139792253	1.0	True	NONE
MEIS1	-2.69818801728088	7.80006510316863e-12	TIER_1_ROBUST_REGIONAL	True	True	True	-1.2667197360403886	True	False	True	-0.6177610338342563	1.0	True	NONE
SLIT2	2.66673368319564	4.50560760698336e-09	TIER_1_ROBUST_REGIONAL	True	True	True	1.985124106398768	True	False	True	0.1226384906470685	1.0	True	NONE
ITGBL1	-2.64485496297176	2.00845050647623e-13	TIER_1_ROBUST_REGIONAL	True	True	True	-1.7447093174631063	True	False	True	-0.4056902787191316	1.0	True	NONE
MRO	-2.63182374196495	0.0002358923634852	TIER_1_ROBUST_REGIONAL	True	True	True	-0.7776015799256188	True	False	True	-0.6506635670547991	1.0	True	NONE
NR2F1	-2.62616399766731	3.90620915013752e-07	TIER_1_ROBUST_REGIONAL	True	True	True	-0.4781167355226415	True	False	True	-0.5938944672973652	1.0	True	NONE
PDE4D	-2.61515194216616	1.8376146875112102e-09	TIER_1_ROBUST_REGIONAL	True	True	True	-2.2239617371697165	True	True	True	NA	NA	True	NONE
SYNDIG1	-2.60794181317362	0.0002327882964251	TIER_1_ROBUST_REGIONAL	True	True	True	-1.4487261234936364	True	True	True	-0.3115773950867739	1.0	True	NONE
PPP2R2C	2.60438728252161	1.35329265526953e-07	TIER_1_ROBUST_REGIONAL	True	True	True	2.104177568412045	True	True	True	0.5509479649720719	1.0	True	NONE
TSPAN8	-2.59309111995563	1.75634511731846e-06	TIER_1_ROBUST_REGIONAL	True	True	True	-2.5096941606803607	True	True	True	-0.3030479209693437	1.0	True	NONE
FBP2	-2.5837653205382	0.0001043241919865	TIER_1_ROBUST_REGIONAL	True	True	True	-0.6449729007509238	True	False	True	-0.2831079184685305	1.0	True	NONE
CDH19	2.55934451849224	1.145094767857e-07	TIER_1_ROBUST_REGIONAL	True	True	True	1.3218013506864494	True	False	True	0.0403606272448664	1.0	True	NONE
IGF2BP2	2.55304680494272	1.06866671847936e-08	TIER_1_ROBUST_REGIONAL	True	True	True	1.446526883857058	True	True	True	0.8063073641700542	1.0	True	NONE
SLC24A4	2.54832815047678	3.00902627866299e-08	TIER_1_ROBUST_REGIONAL	True	True	True	0.7868315529520452	True	False	True	0.3124405660446965	1.0	True	NONE
FAP	2.51153909689671	5.54392474027059e-07	TIER_1_ROBUST_REGIONAL	True	True	True	1.6412527592958317	True	False	True	0.2694978786250035	1.0	True	NONE
KCNMA1	-2.48652956188383	8.65376684880364e-05	TIER_1_ROBUST_REGIONAL	True	True	True	-1.3042066418860707	True	True	True	NA	NA	True	NONE
EYA4	-2.48351142608033	0.0028429236424657	TIER_1_ROBUST_REGIONAL	True	True	True	-0.8094464065446756	True	False	True	-0.3269245437845387	1.0	True	NONE
ABCC4	-2.46743308042001	1.00741113896419e-10	TIER_1_ROBUST_REGIONAL	True	True	True	-0.835376050914759	True	True	True	-0.3774578191591626	1.0	True	NONE
SYT7	-2.4566697821259	2.21378841922462e-05	TIER_1_ROBUST_REGIONAL	True	True	True	-0.1858475838216436	True	False	True	-0.046973429347171	1.0	False	NONE
BMP6	2.4565901995753	8.37120347403461e-05	TIER_1_ROBUST_REGIONAL	True	True	True	0.6979707918192917	True	False	True	0.5074524583609112	1.0	True	NONE
KCNIP4	-2.45216386027884	3.14493019793777e-05	TIER_1_ROBUST_REGIONAL	True	True	True	-1.8677619561206216	True	False	True	NA	NA	True	NONE
LURAP1L	2.42464487581258	1.35462635066313e-07	TIER_1_ROBUST_REGIONAL	True	True	True	1.2452577201393111	True	False	True	0.2564232350789801	1.0	True	NONE
CALCB	2.41744100826865	1.27974598061847e-09	TIER_1_ROBUST_REGIONAL	True	True	True	1.6418283304846333	True	True	True	0.4084848349949423	1.0	True	NONE
LINC01303	2.40384071771011	5.99247924300545e-05	TIER_1_ROBUST_REGIONAL	True	True	True	1.0335884786656069	True	False	True	NA	NA	True	NONE
SPOCD1	2.40223975961582	2.76508927821164e-05	TIER_1_ROBUST_REGIONAL	True	True	True	1.554784295682915	True	True	True	0.3610602529446451	1.0	True	NONE
SYTL4	-2.39564193320277	6.63460884194741e-08	TIER_1_ROBUST_REGIONAL	True	True	True	-0.7698863389994286	True	False	True	-0.7511624318816158	1.0	True	NONE
VEPH1	-2.39474193453269	1.03019409862154e-09	TIER_1_ROBUST_REGIONAL	True	True	True	-1.9915706007858065	True	True	True	-0.5759281718902296	1.0	True	NONE
